Species	Gene	Expert	Gemini	Grok	OpenAI	Phytomni
Soybean	GLYMA_18G273600	BlrATJscxB0QRI0m3UbCopC8W8B92u2D	R3	R4	R2	R1
Soybean	GLYMA_18G273600	PCBBVau7mFiQZI9v6qT8mtxVwmHpy3mv	R2	R4	R3	R1
Soybean	GLYMA_18G273600	Ud25PeZGzaFVHhfNbEEtLhFw27JIQHRy	R2	R4	R3	R1
Soybean	GLYMA_18G220600	Q0wyBKjEJ9WjRlBuGbgsEPKxjyxqFDgN	R2	R4	R3	R1
Soybean	GLYMA_18G220600	LIVfMTp2Q195YVtCZ8tK7m19GF00r3cd	R4	R3	R2	R1
Soybean	GLYMA_18G220600	PCBBVau7mFiQZI9v6qT8mtxVwmHpy3mv	R2	R4	R3	R1
Soybean	GLYMA_18G117100	Ga4RfZi24UWV9fPFoDwaSxmMaY4OUMt5	R1	R2	R3	R4
Soybean	GLYMA_18G117100	c81eCPPhqmvgwIbUO1CRyiVjUeP3Ek5V	R2	R4	R3	R1
Soybean	GLYMA_18G117100	pjbi6l2HJL3vJR9YRHiKKAORCmiChNws	R2	R4	R3	R1
Soybean	GLYMA_18G259400	c9dCEDCTHzHjMPNbkcYKudCIY5J2yAty	R2	R4	R3	R1
Soybean	GLYMA_18G259400	Iu4vXdz9Wkdf9zSuCBAu7SIaU64K276P	R1	R4	R3	R2
Soybean	GLYMA_18G259400	Ud25PeZGzaFVHhfNbEEtLhFw27JIQHRy	R2	R4	R3	R1
Soybean	GLYMA_18G224500	pxbZmSdAGEhYGh3RgnDnLekkfzilwicj	R2	R4	R3	R1
Soybean	GLYMA_18G224500	wsdTZKnGp3fOytA1b5gneF2OBEuRWuOF	R2	R4	R3	R1
Soybean	GLYMA_18G224500	gn8MXuryXLytnYacUUS9zstklbnUvdlU	R2	R4	R3	R1
Soybean	GLYMA_01G175500	AU7QUOpT1H8P3eLhh5T0355nSvvx8TqH	R4	R3	R2	R1
Soybean	GLYMA_01G175500	Iu4vXdz9Wkdf9zSuCBAu7SIaU64K276P	R1	R4	R3	R2
Soybean	GLYMA_01G175500	QtdiC24odCRKNg6t0NxsBx5HkjXgnnYX	R2	R4	R3	R1
